noise_level,degree,local_id,target_noise,noise_actual,seed,coeff_scale,coeff_offset,coeff_mean,coeff_std,coeff_max,deviation
low,1,0,0.229416,0.229416,1,2.5514924197508106,3.105038379014906,-3.2625148866975007,22.592609063935505,25.855123950633004,0.0
low,1,1,0.229416,0.229416,2,2.631178588996416,0.8829639418492523,-13.029568644623648,3.3713258676906515,16.4008945123143,0.0
low,1,2,0.229416,0.22941599999999998,3,3.1133511908132174,3.0660730323779353,-1.8927094794314767,14.478847297480904,16.37155677691238,2.7755575615628914e-17
low,1,3,0.229416,0.22941600000000004,4,4.861525323857442,2.5511431973623115,8.491412386813082,3.234686587338044,11.726098974151125,2.7755575615628914e-17
low,1,4,0.229416,0.22941599999999993,5,1.7323713185769058,3.5863433797676043,23.08306638176384,1.2496833811500778,24.332749762913917,8.326672684688674e-17
low,1,5,0.229416,0.229416,6,4.550012636031207,1.8623353769637672,-3.028539223691551,14.845698539518652,17.874237763210203,0.0
low,1,6,0.229416,0.22941600000000004,7,1.1204948153706202,3.2957401351683666,-4.8297155943227885,18.734657476979603,23.56437307130239,2.7755575615628914e-17
low,1,7,0.229416,0.229416,8,4.468403491725629,3.899330121026982,-19.400573811949833,1.3021414286503479,20.70271524060018,0.0
low,1,8,0.229416,0.229416,9,0.8435714463199399,2.405998694875964,0.21619840400353585,11.677744787548505,11.893943191552042,0.0
low,1,9,0.229416,0.229416,10,4.039546701720333,0.8664062379500849,26.007358433357822,42.0944087203668,68.10176715372462,0.0
low,1,10,0.229416,0.229416,11,1.5571326932824308,0.8623207727603988,-1.4067818809525736,11.652838952752576,13.05962083370515,0.0
low,1,11,0.229416,0.2294160000000001,12,1.447483937994624,3.1681590288492956,-12.757547030319738,0.09543040465946273,12.852977434979202,8.326672684688674e-17
low,1,12,0.229416,0.229416,13,4.066350124410045,1.5601319041117194,3.5726779584449817,15.048659254349428,18.62133721279441,0.0
low,1,13,0.229416,0.22941600000000004,14,2.9585620438452995,3.2741281666537496,0.7265275455787314,15.580121532125874,16.306649077704606,2.7755575615628914e-17
low,1,14,0.229416,0.22941600000000006,15,4.365034328528031,1.3724669597471952,12.143954700985564,24.19435364093312,36.33830834191868,5.551115123125783e-17
low,1,15,0.229416,0.22941600000000004,16,1.7378225324448633,2.4741226924821635,-14.453707309806198,1.1677359065683799,15.621443216374578,2.7755575615628914e-17
low,1,16,0.229416,0.229416,17,2.037593011285861,2.4978776179369415,10.549368437977593,2.6144391670163287,13.163807604993922,0.0
low,1,17,0.229416,0.22941600000000006,18,3.531571815306285,2.4174507959514973,0.4386136478442637,36.58441267864418,37.02302632648844,5.551115123125783e-17
low,1,18,0.229416,0.22941600000000004,19,1.2096411273476968,3.23599909335954,14.343632928796357,2.507436102656442,16.8510690314528,2.7755575615628914e-17
low,1,19,0.229416,0.229416,20,3.270149364524552,3.6726839293101374,-1.7871616330700304,17.427164322287705,19.214325955357737,0.0
low,1,20,0.229416,0.22941599999999998,21,1.0046444993983346,1.725150911327414,-0.48580713291364397,16.643576302057426,17.12938343497107,2.7755575615628914e-17
low,1,21,0.229416,0.229416,22,1.675534256907139,2.341379397642771,12.259173937020208,0.0897815817616312,12.348955518781839,0.0
low,1,22,0.229416,0.229416,23,2.972651112155675,3.8302803322074057,-1.3401059259212804,17.778907324162333,19.119013250083615,0.0
low,1,23,0.229416,0.229416,24,4.832072674010858,3.038438559838643,17.875677057056006,0.3949472745570546,18.27062433161306,0.0
low,1,24,0.229416,0.229416,25,4.45452137383429,2.6632861717521914,-21.99044220012894,4.010348379412383,26.00079057954132,0.0
low,1,25,0.229416,0.22941599999999998,26,2.093326801024878,2.4620527337769627,11.751541177423139,0.99753971149301,12.749080888916149,2.7755575615628914e-17
